12.801	10.169	0.027	1.166
0.008	9.896	0.149	1.168
0.024	10.164	0.085	1.169
0.041	9.919	0.152	1.168
0.057	9.756	0.086	1.168
0.074	9.701	0.050	1.167
0.091	9.685	0.055	1.167
0.107	9.941	0.139	1.166
0.124	9.831	0.098	1.168
0.141	10.080	0.115	1.168
0.157	10.121	0.216	1.167
0.175	9.802	0.054	1.170
0.191	9.966	0.276	1.168
0.208	10.156	0.084	1.170
0.225	10.202	0.082	1.168
0.241	10.162	0.079	1.168
0.258	10.004	0.220	1.172
0.275	9.926	0.034	1.169
0.290	10.006	0.036	1.170
0.308	10.141	0.162	1.166
0.324	9.947	0.149	1.166
0.341	10.128	0.067	1.167
0.358	10.064	0.109	1.168
0.374	10.259	0.142	1.168
0.391	10.018	0.029	1.166
0.408	10.134	0.115	1.168
0.424	9.922	0.176	1.168
0.441	10.072	0.098	1.168
0.458	10.089	0.073	1.171
0.474	10.095	0.058	1.168
0.491	10.157	0.121	1.168
0.508	10.132	0.236	1.169
0.524	10.068	0.107	1.170
0.541	10.173	0.168	1.166
0.558	10.079	0.140	1.169
0.575	10.174	0.063	1.167
0.592	9.964	0.163	1.168
0.608	10.237	0.089	1.168
0.624	10.162	0.066	1.169
0.642	10.136	0.130	1.166
0.657	10.068	0.156	1.169
0.675	10.068	0.184	1.169
0.692	10.048	0.199	1.169
0.709	10.266	0.144	1.171
0.724	9.932	0.094	1.169
0.741	10.075	0.042	1.167
0.758	9.852	0.098	1.169
0.774	10.044	0.229	1.172
0.791	10.305	0.130	1.169
0.808	10.241	0.099	1.169
0.825	10.112	0.138	1.167
0.841	10.054	0.083	1.170
0.858	10.247	0.069	1.168
0.875	10.245	0.153	1.169
0.892	10.115	0.082	1.169
0.907	10.027	0.082	1.168
0.925	10.132	0.041	1.168
0.942	10.179	0.047	1.169
0.957	10.133	0.117	1.169
0.974	10.015	0.056	1.169
0.992	9.950	0.060	1.170
1.009	10.136	0.056	1.172
1.024	10.017	0.107	1.169
1.041	10.250	0.188	1.168
1.059	10.033	0.078	1.169
1.076	10.189	0.109	1.169
1.091	10.201	0.132	1.172
1.109	10.360	0.130	1.169
1.124	10.209	0.157	1.168
1.141	10.183	0.098	1.168
1.159	10.130	0.219	1.170
1.174	10.318	0.155	1.168
1.193	10.014	0.081	1.169
1.210	10.132	0.094	1.169
1.225	10.010	0.086	1.167
1.242	10.057	0.061	1.170
1.258	10.186	0.123	1.169
1.275	10.133	0.063	1.171
1.292	10.116	0.138	1.168
1.308	10.048	0.092	1.170
1.325	10.144	0.140	1.167
1.342	10.169	0.117	1.171
1.359	10.342	0.082	1.169
1.375	10.216	0.066	1.167
1.392	10.165	0.052	1.170
1.408	10.096	0.145	1.172
1.425	10.239	0.061	1.169
1.442	10.152	0.094	1.170
1.459	10.356	0.083	1.166
1.475	10.253	0.063	1.169
1.492	10.122	0.178	1.169
1.509	10.020	0.121	1.171
1.526	10.272	0.119	1.168
1.542	10.086	0.221	1.170
1.559	10.183	0.152	1.170
1.575	9.940	0.164	1.168
1.592	10.166	0.152	1.168
1.609	10.176	0.171	1.168
1.625	10.447	0.047	1.167
1.642	10.115	0.126	1.167
1.659	10.292	0.077	1.170
1.676	10.135	0.121	1.170
1.692	10.196	0.171	1.168
1.709	10.279	0.165	1.168
1.726	10.227	0.157	1.169
1.742	10.139	0.083	1.169
1.759	10.226	0.039	1.169
1.776	10.102	0.133	1.168
1.792	10.395	0.116	1.168
1.809	9.924	0.078	1.169
1.826	10.249	0.113	1.167
1.843	10.175	0.092	1.168
1.859	10.290	0.111	1.165
1.876	9.984	0.070	1.167
1.892	10.183	0.187	1.168
1.909	10.401	0.158	1.170
1.925	10.217	0.108	1.170
1.943	9.990	0.230	1.167
1.960	10.124	0.047	1.171
1.975	10.204	0.145	1.169
1.993	10.208	0.194	1.170
2.010	10.267	0.089	1.165
2.025	10.256	0.164	1.167
2.043	10.245	0.086	1.167
2.060	10.013	0.181	1.169
2.075	10.330	0.118	1.169
2.092	10.238	0.113	1.170
2.110	10.110	0.078	1.166
2.127	10.015	0.182	1.168
2.142	10.047	0.072	1.169
2.160	10.053	0.092	1.170
2.177	10.112	0.132	1.167
2.192	10.077	0.149	1.169
2.210	10.223	0.057	1.170
2.225	10.270	0.112	1.168
2.242	10.402	0.092	1.171
2.260	10.168	0.090	1.169
2.275	10.203	0.135	1.170
2.292	10.295	0.096	1.170
2.310	10.149	0.068	1.171
2.325	10.234	0.112	1.171
2.342	10.199	0.175	1.168
2.360	10.100	0.156	1.168
2.377	10.177	0.163	1.170
2.392	10.164	0.084	1.170
2.410	10.409	0.083	1.169
2.426	10.125	0.118	1.171
2.443	10.026	0.086	1.169
2.460	10.149	0.034	1.169
2.476	10.360	0.115	1.169
2.493	10.311	0.086	1.170
2.510	10.224	0.065	1.169
2.526	10.270	0.137	1.170
2.543	10.199	0.114	1.171
2.559	10.065	0.153	1.170
2.576	10.167	0.055	1.168
2.593	9.936	0.179	1.170
2.610	10.328	0.083	1.168
2.626	9.989	0.217	1.167
2.643	10.533	0.111	1.171
2.660	10.246	0.081	1.168
2.676	10.041	0.072	1.168
2.693	10.416	0.078	1.169
2.710	10.252	0.057	1.173
2.728	10.284	0.134	1.168
2.743	10.191	0.141	1.172
2.760	10.292	0.088	1.170
2.776	10.350	0.138	1.171
2.793	10.158	0.093	1.172
2.810	10.303	0.084	1.168
2.828	10.195	0.162	1.169
2.843	10.293	0.065	1.166
2.860	10.309	0.074	1.167
2.877	10.221	0.109	1.170
2.893	10.365	0.067	1.170
2.910	10.397	0.058	1.170
2.927	10.141	0.080	1.167
2.943	10.309	0.062	1.169
2.960	10.251	0.087	1.168
2.977	10.186	0.065	1.169
2.993	10.285	0.192	1.169
3.010	10.305	0.166	1.171
3.027	10.042	0.044	1.168
3.043	10.229	0.075	1.171
3.060	10.101	0.091	1.169
3.077	10.237	0.028	1.171
3.093	10.260	0.070	1.167
3.110	10.179	0.163	1.169
3.127	10.334	0.153	1.171
3.144	10.295	0.179	1.170
3.160	10.210	0.044	1.172
3.177	10.377	0.148	1.168
3.194	10.210	0.171	1.168
3.210	10.418	0.168	1.171
3.227	10.350	0.134	1.170
3.244	10.289	0.078	1.169
3.260	10.372	0.116	1.169
3.277	10.186	0.147	1.168
3.294	10.231	0.123	1.169
3.310	10.322	0.117	1.168
3.327	10.312	0.168	1.171
3.344	10.173	0.182	1.167
3.360	10.101	0.081	1.171
3.377	10.281	0.128	1.167
3.394	10.373	0.197	1.169
3.410	10.244	0.100	1.169
3.427	10.109	0.145	1.169
3.444	10.219	0.113	1.170
3.461	10.312	0.222	1.170
3.477	10.412	0.078	1.171
3.494	10.167	0.132	1.167
3.511	10.353	0.172	1.169
3.528	10.248	0.172	1.170
3.544	10.201	0.137	1.167
3.561	10.384	0.122	1.171
3.578	10.291	0.154	1.170
3.595	10.189	0.112	1.168
3.611	10.252	0.132	1.170
3.628	10.072	0.203	1.167
3.643	10.449	0.068	1.167
3.661	10.355	0.090	1.169
3.678	10.355	0.089	1.171
3.693	10.331	0.069	1.168
3.711	10.463	0.168	1.171
3.728	10.254	0.112	1.169
3.743	10.445	0.124	1.170
3.761	10.264	0.112	1.172
3.778	10.175	0.073	1.171
3.793	10.181	0.081	1.169
3.811	10.253	0.154	1.169
3.828	10.289	0.226	1.169
3.845	10.353	0.131	1.168
3.861	10.269	0.138	1.173
3.878	10.423	0.170	1.169
3.895	10.680	0.158	1.168
3.911	10.353	0.069	1.169
3.928	10.204	0.194	1.171
3.943	10.370	0.096	1.168
3.961	10.222	0.083	1.170
3.978	10.369	0.152	1.170
3.995	9.954	0.120	1.170
4.011	10.314	0.119	1.169
4.028	10.402	0.150	1.169
4.045	10.562	0.077	1.168
4.061	10.282	0.240	1.171
4.078	10.112	0.111	1.169
4.095	10.089	0.076	1.167
4.111	10.125	0.207	1.170
4.128	10.235	0.159	1.169
4.145	10.497	0.059	1.170
4.161	10.284	0.080	1.167
4.178	10.411	0.157	1.167
4.195	10.160	0.038	1.170
4.211	10.274	0.145	1.170
4.228	10.118	0.075	1.168
4.245	10.166	0.098	1.171
4.261	10.219	0.076	1.170
4.278	10.285	0.141	1.172
4.295	10.329	0.094	1.172
4.311	10.280	0.078	1.166
4.328	10.249	0.173	1.171
4.345	10.068	0.100	1.171
4.362	10.263	0.083	1.171
4.378	10.333	0.146	1.169
4.395	10.222	0.140	1.168
4.410	10.301	0.229	1.169
4.428	10.245	0.171	1.170
4.445	10.217	0.175	1.170
4.460	10.311	0.165	1.170
4.478	10.449	0.087	1.168
4.495	10.353	0.062	1.167
4.512	10.266	0.176	1.172
4.528	10.404	0.059	1.170
4.545	10.296	0.085	1.169
4.562	10.347	0.076	1.172
4.578	10.172	0.138	1.171
4.595	10.273	0.132	1.170
4.610	10.451	0.165	1.170
4.628	10.301	0.121	1.169
4.644	10.261	0.125	1.171
4.661	10.041	0.178	1.169
4.678	10.276	0.032	1.171
4.696	10.257	0.045	1.170
4.711	10.227	0.141	1.169
4.728	10.350	0.173	1.169
4.746	10.343	0.171	1.169
4.761	10.170	0.134	1.169
4.779	10.302	0.073	1.171
4.794	10.225	0.127	1.171
4.811	10.239	0.178	1.170
4.829	10.048	0.093	1.171
4.846	10.445	0.083	1.170
4.861	10.302	0.087	1.168
4.879	10.316	0.091	1.171
4.896	10.219	0.134	1.170
4.911	10.212	0.084	1.171
4.929	10.174	0.132	1.170
4.946	10.298	0.132	1.172
4.961	10.138	0.116	1.173
4.979	10.419	0.095	1.169
4.994	10.304	0.063	1.170
5.011	10.394	0.095	1.171
5.028	10.408	0.141	1.171
5.045	10.365	0.135	1.171
5.061	10.406	0.147	1.169
5.078	10.387	0.102	1.171
5.095	10.312	0.042	1.167
5.113	10.056	0.029	1.170
5.128	10.410	0.079	1.169
5.145	10.345	0.161	1.171
5.162	10.296	0.085	1.169
5.178	10.153	0.065	1.170
5.195	10.287	0.059	1.171
5.213	10.141	0.086	1.169
5.228	10.189	0.083	1.170
5.245	10.284	0.160	1.169
5.262	10.265	0.095	1.167
5.280	10.380	0.113	1.171
5.297	10.324	0.145	1.168
5.312	10.160	0.109	1.172
5.328	10.159	0.169	1.170
5.345	10.191	0.109	1.171
5.362	10.121	0.080	1.170
5.380	10.440	0.106	1.170
5.395	10.197	0.103	1.170
5.412	10.174	0.330	1.169
5.428	10.230	0.088	1.170
5.445	10.413	0.129	1.167
5.462	10.379	0.083	1.171
5.480	10.081	0.266	1.170
5.495	10.269	0.121	1.169
5.512	10.329	0.098	1.171
5.528	10.242	0.059	1.171
5.545	10.207	0.061	1.169
5.562	10.211	0.074	1.172
5.580	10.147	0.127	1.173
5.595	10.225	0.105	1.170
5.612	10.245	0.069	1.170
5.630	10.331	0.085	1.168
5.645	10.413	0.101	1.171
5.662	10.472	0.198	1.169
5.680	10.310	0.083	1.170
5.695	10.433	0.104	1.172
5.712	10.350	0.106	1.167
5.730	10.181	0.108	1.169
5.745	10.235	0.234	1.172
5.762	10.557	0.080	1.171
5.780	10.258	0.062	1.169
5.795	10.266	0.184	1.170
5.812	10.103	0.103	1.169
5.830	10.310	0.056	1.169
5.847	10.520	0.096	1.169
5.862	10.567	0.186	1.168
5.880	10.266	0.085	1.168
5.897	10.233	0.063	1.170
5.912	10.259	0.144	1.166
5.930	10.556	0.131	1.171
5.947	10.270	0.125	1.169
5.962	10.369	0.229	1.168
5.979	10.340	0.117	1.172
5.997	10.447	0.059	1.168
6.012	10.370	0.040	1.169
6.030	10.312	0.105	1.169
6.047	10.391	0.130	1.169
6.062	10.303	0.218	1.173
6.080	10.382	0.089	1.171
6.097	10.288	0.168	1.171
